industry_id,naics_code,suggested_use,source_file,question,license_note,publisher,report_title,publication_date,category,applies_to,source_basis
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,Is the target's profit margin above or below the industry benchmark?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,margin,benchmarks,PEDESK
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,"Which report-cited external drivers most affect this target, and in which direction?",Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,drivers,drivers,PEDESK
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,What public CMS/HCRIS data can validate or challenge this industry thesis?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,validation,public-data,PEDESK
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,Which metrics here are report-derived vs provider-specific?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,provenance,labeling,PEDESK
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,"Which outpatient segment (ASC/dialysis/emergency) is the target in, and its share trend?",Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,segments,segments,PEDESK
62149,621498,diligence/Guide,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,How do CMS ASC/dialysis provider data validate the target's volumes?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,validation,cms,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,How does the target's revenue growth compare to the industry CAGR in this report?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,growth,metrics,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,Is the target's profit margin above or below the industry benchmark?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,margin,benchmarks,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,"Which report-cited external drivers most affect this target, and in which direction?",Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,drivers,drivers,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,What public CMS/HCRIS data can validate or challenge this industry thesis?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,validation,public-data,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,Which metrics here are report-derived vs provider-specific?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,provenance,labeling,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,Does the target's cost structure match the industry wage/supply share?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,cost,benchmarks,PEDESK
62211,622110,diligence/Guide,62211 Hospitals in the US Industry Report.pdf,How do the target's HCRIS margins compare to the industry profit benchmark?,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,margin,hcris-xray,PEDESK
